,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF
213,L,298.4,308.2,1739,30.2,156,0,0,0,0,0
214,L,300.5,309.3,1304,64.7,94,0,0,0,0,0
215,L,300.4,310.4,1609,32.3,46,0,0,0,0,0
216,L,300.7,312.0,1518,37.7,50,0,0,0,0,0
217,H,298.5,309.6,1502,38.1,7,0,0,0,0,0
218,L,299.2,308.5,1544,46.4,179,0,0,0,0,0
219,L,303.4,312.3,1286,59.1,73,0,0,0,0,0
220,L,297.9,307.6,1971,23.1,178,0,0,0,0,0
221,L,301.4,310.7,1384,49.9,23,0,0,0,0,0
222,L,298.1,308.1,1528,33.9,82,0,0,0,0,0
223,L,302.2,310.1,1359,50.4,22,0,1,0,0,0
224,L,302.3,311.5,1605,34.0,33,0,0,0,0,0
225,L,298.2,308.2,1489,41.2,34,0,0,0,0,0
226,L,298.8,309.8,1402,50.2,139,0,0,0,0,0
227,L,301.2,310.6,1428,44.7,107,0,0,0,0,0
228,L,298.6,309.6,1441,48.0,115,0,0,0,0,0
229,L,300.1,309.5,1506,38.8,26,0,0,0,0,0
230,L,297.9,309.0,1412,45.5,92,0,0,0,0,0
231,L,302.3,311.0,1506,36.6,20,0,0,0,0,0
232,L,301.7,310.7,1605,35.9,171,0,0,0,0,0
233,L,300.9,310.7,1412,57.5,14,0,0,0,0,0
234,L,302.3,311.7,1611,38.6,20,0,0,0,0,0
235,L,300.5,309.8,1375,56.2,130,0,0,0,0,0
236,L,297.1,308.3,1633,33.3,192,0,0,0,0,0
237,M,297.1,308.2,1789,23.6,135,0,0,0,0,0
238,L,298.9,308.7,1335,56.2,197,0,0,0,0,0
239,L,302.2,311.6,1488,41.8,75,0,0,0,0,0
240,L,298.9,309.6,1448,39.8,202,0,0,0,0,0
241,L,300.7,310.8,1393,44.7,186,0,0,0,0,0
242,L,298.8,309.7,1627,39.8,36,0,0,0,0,0
243,L,300.1,309.3,1431,41.7,30,0,0,0,0,0
244,M,298.8,309.9,1353,48.7,10,0,0,0,0,0
245,M,299.8,311.1,1615,35.8,15,0,0,0,0,0
246,L,301.9,310.8,1546,40.7,11,0,0,0,0,0
247,L,300.9,310.9,1521,36.0,214,0,0,0,0,0
248,H,297.8,309.2,1447,42.8,203,0,0,0,0,0
249,M,298.8,310.0,1459,40.2,147,0,0,0,0,0
250,H,298.9,309.6,1546,35.3,188,0,0,0,0,0
251,H,298.9,309.3,1407,48.6,161,0,0,0,0,0
252,L,299.0,310.1,1460,43.2,65,0,0,0,0,0
253,L,297.5,308.7,1480,39.8,161,0,0,0,0,0
254,L,300.3,311.5,1628,36.6,113,0,0,0,0,0
255,L,303.3,311.7,1563,34.1,213,0,0,0,0,0
256,L,299.9,311.4,1429,58.2,103,0,0,0,0,0
257,L,298.6,309.9,1408,45.2,143,0,0,0,0,0
258,H,298.9,309.6,1432,46.3,166,0,0,0,0,0
259,M,297.3,308.4,1524,49.3,176,0,0,0,0,0
260,M,299.7,310.4,1418,53.9,110,0,0,0,0,0
261,M,303.0,311.2,1375,46.2,7,0,0,0,0,0
262,L,303.0,311.0,1311,52.2,127,0,0,0,0,0
263,L,300.9,310.7,1523,35.8,202,0,0,0,0,0
264,L,296.5,307.2,1481,38.2,5,0,0,0,0,0
265,L,298.6,309.4,1761,30.0,51,0,0,0,0,0
266,L,300.8,310.5,1544,33.2,166,0,0,0,0,0
267,L,301.1,310.8,1431,45.1,169,0,0,0,0,0
268,M,298.0,309.1,1488,37.3,30,0,0,0,0,0
269,L,298.0,307.6,1420,45.8,200,0,0,0,0,0
270,L,299.1,308.7,1502,46.7,26,0,0,0,0,0
271,M,299.9,309.1,1345,44.4,10,0,0,0,0,0
272,M,297.4,309.2,1450,44.8,196,0,0,0,0,0
273,L,298.9,310.2,1654,31.1,179,0,0,0,0,0
274,L,303.3,312.5,1381,51.2,83,0,0,0,0,0
275,L,297.2,308.5,1548,36.7,0,0,0,0,0,0
276,L,300.9,312.1,1564,34.6,5,0,0,0,0,0
277,L,300.7,310.9,1521,37.5,61,0,0,0,0,0
278,M,295.6,306.1,1424,47.8,166,0,0,0,0,0
279,L,300.1,309.3,1443,47.8,199,0,0,0,0,0
280,L,298.2,308.2,1304,23.4,173,0,0,0,0,0
281,L,298.3,308.9,1545,36.9,170,0,0,0,0,0
282,L,298.7,308.5,1559,39.8,158,0,0,0,0,0
283,L,297.2,308.1,1675,29.6,0,0,0,0,0,0
284,L,301.3,310.3,1887,21.9,204,0,0,0,0,0
285,H,301.2,310.5,1436,53.9,55,0,0,0,0,0
286,M,300.3,309.4,1398,51.7,82,0,0,0,0,0
287,L,299.3,310.6,1602,33.5,203,0,0,0,0,0
288,L,297.3,308.4,1366,49.1,197,0,0,0,0,0
289,L,302.9,312.4,1336,57.1,94,0,0,0,0,0
290,L,298.0,308.2,1372,45.5,98,0,0,0,0,0
291,M,297.8,309.0,1387,30.0,94,0,0,0,0,0
292,M,297.3,308.2,1501,47.5,10,0,0,0,0,0
293,L,297.3,308.6,1503,36.3,156,0,0,0,0,0
294,M,301.7,311.0,1298,41.1,168,0,0,0,0,0
295,L,297.8,307.5,1530,35.7,166,0,0,0,0,0
296,L,300.9,310.1,1565,34.5,165,0,0,0,0,0
297,L,300.5,310.4,1538,37.7,12,0,0,0,0,0
298,L,300.9,311.5,1373,41.1,90,0,0,0,0,0
299,L,301.1,311.1,1634,31.2,44,0,0,0,0,0
300,L,297.4,308.7,1445,46.2,130,0,0,0,0,0
301,H,298.8,310.2,1863,25.8,107,0,0,0,0,0
302,L,299.3,308.6,1331,53.1,132,0,0,0,0,0
303,M,301.8,310.6,1517,35.2,195,0,0,0,0,0
304,L,298.2,307.6,1569,36.3,82,0,0,0,0,0
305,L,300.4,311.1,1550,34.5,191,0,0,0,0,0
306,H,301.2,311.0,1520,36.4,48,0,0,0,0,0
307,L,300.4,311.6,1555,38.1,202,0,0,0,0,0
308,L,301.7,310.8,1742,24.0,139,0,0,0,0,0
309,M,298.2,308.8,1438,41.8,166,0,0,0,0,0
310,L,299.1,310.1,1362,53.6,117,0,0,0,0,0
311,M,298.5,310.0,1406,50.2,49,0,0,0,0,0
312,L,298.3,308.0,1326,62.0,94,0,0,0,0,0
313,L,302.6,312.5,1386,45.8,38,0,0,0,0,0
314,L,298.2,307.8,1481,40.9,115,0,0,0,0,0
315,L,300.2,311.5,1465,47.1,0,0,0,0,0,0
316,L,303.9,313.1,1412,46.5,92,0,0,0,0,0
317,L,301.1,311.2,1439,43.5,41,0,0,0,0,0
318,L,297.9,307.6,1504,42.4,0,0,0,0,0,0
319,L,298.2,308.1,1563,35.2,27,0,0,0,0,0
320,L,298.9,308.7,1798,24.3,79,0,0,0,0,0
321,M,298.1,308.4,1424,47.0,146,0,0,0,0,0
322,L,300.8,311.2,1453,39.1,139,0,0,0,0,0
323,L,301.9,311.3,1734,25.7,57,0,0,0,0,0
324,L,299.3,308.6,1422,53.6,141,0,0,0,0,0
325,L,304.4,313.6,1685,28.0,188,0,0,0,0,0
326,M,301.9,309.7,1439,48.6,139,0,0,0,0,0
327,M,302.4,310.1,1591,29.5,54,0,0,0,0,0
328,H,297.6,308.5,1453,50.8,197,0,0,0,0,0
329,L,300.4,310.1,1592,31.8,168,0,0,0,0,0
330,H,301.4,310.5,1536,35.8,90,0,0,0,0,0
331,M,298.1,308.3,1641,32.7,190,0,0,0,0,0
332,M,301.4,310.6,1625,34.1,5,0,0,0,0,0
333,L,300.7,309.7,1549,52.4,163,0,0,0,0,0
334,L,301.0,311.3,1493,40.6,135,0,0,0,0,0
335,L,302.4,311.5,1690,31.1,58,0,0,0,0,0
336,M,300.7,309.5,1392,44.0,126,0,0,0,0,0
337,L,298.1,308.1,1462,43.8,124,0,0,0,0,0
338,L,301.0,312.1,1446,48.1,197,0,0,0,0,0
339,M,300.7,309.7,1525,36.5,71,0,0,0,0,0
340,H,301.7,310.3,1462,38.3,49,0,0,0,0,0
341,L,302.3,311.1,1446,37.6,75,0,0,0,0,0
342,L,302.4,311.9,1512,40.9,114,0,0,0,0,0
343,L,296.3,307.2,1350,58.0,192,0,0,0,0,0
344,L,303.7,312.8,1726,26.2,56,0,0,0,0,0
345,M,298.8,310.1,1437,42.6,127,0,0,0,0,0
346,M,299.0,308.2,1372,54.6,141,0,0,0,0,0
347,L,300.3,311.7,1492,31.2,123,0,0,0,0,0
348,L,300.4,311.2,1731,29.6,173,0,0,0,0,0
349,L,301.7,311.1,1490,38.4,128,0,0,0,0,0
350,L,295.8,306.6,1480,43.7,95,0,0,0,0,0
351,L,300.7,310.8,1353,33.8,104,0,0,0,0,0
352,L,302.5,310.4,1626,34.9,171,0,0,0,0,0
353,H,300.5,311.7,1469,43.5,65,0,0,0,0,0
354,M,297.4,308.2,1557,32.6,22,0,0,0,0,0
355,M,300.9,310.8,1559,36.2,74,0,0,0,0,0
356,L,303.8,312.6,1869,25.8,193,0,0,0,0,0
357,L,297.4,308.6,1492,41.0,192,0,0,0,0,0
358,M,299.1,309.9,1423,49.8,153,0,0,0,0,0
359,H,299.1,308.8,1566,46.4,197,0,0,0,0,0
360,L,297.4,308.6,1486,44.2,75,0,0,0,0,0
361,M,298.9,310.1,1877,23.5,181,0,0,0,0,0
362,L,297.5,308.5,1615,39.9,110,0,0,0,0,0
363,M,303.1,311.2,1494,44.0,74,0,0,0,0,0
364,L,299.4,309.2,1683,28.4,145,0,0,0,0,0
365,L,301.3,310.5,1337,48.1,106,0,0,0,0,0
366,L,297.3,308.1,1452,43.9,192,0,0,0,0,0
367,L,302.5,311.5,1484,42.2,33,0,0,0,0,0
368,L,301.3,310.6,1616,34.2,179,0,0,0,0,0
369,L,302.0,310.9,1567,36.2,214,0,0,0,0,0
370,L,300.4,311.2,1463,41.8,173,0,0,0,0,0
371,M,302.3,311.2,1642,35.6,72,0,0,0,0,0
372,L,300.1,311.5,1435,42.4,80,0,0,0,0,0
373,M,302.3,311.3,1494,42.1,53,0,0,0,0,0
374,M,301.4,310.9,1636,33.6,115,0,0,0,0,0
375,L,299.6,310.6,1704,31.8,149,0,0,0,0,0
376,L,299.3,310.2,1459,49.2,16,0,0,0,0,0
377,L,298.0,308.6,1545,36.1,0,0,0,0,0,0
378,M,301.7,310.7,1398,44.4,17,0,0,0,0,0
379,L,300.2,311.6,1566,37.6,172,0,0,0,0,0
380,L,297.7,308.7,1685,31.1,95,0,0,0,0,0
381,L,303.5,312.9,1525,41.0,162,0,0,0,0,0
382,M,299.3,308.4,1448,52.1,71,0,0,0,0,0
383,M,298.2,308.9,1642,29.7,122,0,0,0,0,0
384,L,298.9,310.0,1394,60.0,144,0,0,0,0,0
385,L,302.2,311.6,1571,38.2,89,0,0,0,0,0
386,L,297.4,308.3,1641,33.3,0,0,0,0,0,0
387,L,297.3,308.3,1366,39.7,96,0,0,0,0,0
388,L,298.6,309.7,1627,33.4,119,0,0,0,0,0
389,L,298.0,307.6,1479,50.8,0,0,0,0,0,0
390,M,302.6,312.4,1523,34.2,33,0,0,0,0,0
391,M,298.4,308.5,1569,34.2,103,0,0,0,0,0
392,L,300.5,309.6,1887,24.3,28,0,0,0,0,0
393,L,300.6,310.7,1543,51.2,119,0,0,0,0,0
394,L,300.0,309.1,1436,40.6,9,0,0,0,0,0
395,L,297.8,309.0,1529,37.1,2,0,0,0,0,0
396,L,301.9,310.9,1989,21.8,92,0,0,0,0,0
397,H,302.6,310.4,1382,56.5,85,0,1,0,0,0
398,L,298.5,309.9,1630,30.6,2,0,0,0,0,0
399,M,300.5,310.8,1598,35.2,92,0,0,0,0,0
400,M,300.3,311.6,1435,50.5,115,0,0,0,0,0
401,L,303.5,313.0,1593,32.9,173,0,0,0,0,0
402,L,300.0,309.2,1552,33.3,42,0,0,0,0,0
403,L,300.3,309.4,1695,29.4,190,0,0,0,0,0
404,L,304.2,313.4,1666,27.1,35,0,0,0,0,0
405,L,298.4,308.6,2636,12.8,103,0,0,1,0,0
406,L,299.6,309.0,1372,40.6,149,0,0,0,0,0
407,L,297.5,309.7,1456,46.3,106,0,0,0,0,0
408,L,300.5,309.5,1551,37.2,27,0,0,0,0,0
409,H,300.3,309.7,1452,36.8,139,0,0,0,0,0
410,M,297.7,309.0,1843,24.6,192,0,0,0,0,0
411,M,302.4,310.1,1563,35.9,100,0,0,0,0,0
412,M,301.4,310.7,1395,46.0,174,0,0,0,0,0
413,L,298.9,309.6,1518,39.1,183,0,0,0,0,0
414,L,300.6,311.7,1477,39.4,75,0,0,0,0,0
415,L,300.8,311.0,1552,39.9,147,0,0,0,0,0
416,M,299.3,308.6,1422,46.4,37,0,0,0,0,0
417,L,297.1,308.1,1487,37.5,208,0,0,0,0,0
418,M,297.5,308.7,1533,39.0,37,0,0,0,0,0
419,M,297.8,307.9,1503,43.7,25,0,0,0,0,0
420,L,300.0,311.4,1528,42.8,96,0,0,0,0,0
421,L,301.4,310.3,1564,35.1,158,0,0,0,0,0
422,L,298.0,308.7,1445,43.4,43,0,0,0,0,0
423,L,300.2,309.4,1426,46.6,46,0,0,0,0,0
424,L,303.5,313.0,1479,46.0,39,0,0,0,0,0
425,L,297.5,308.6,1329,50.3,0,0,0,0,0,0
426,L,301.5,310.9,1466,43.3,76,0,0,0,0,0
427,M,301.6,310.6,1340,59.2,142,0,0,0,0,0
428,L,302.4,311.1,1423,38.4,184,0,0,0,0,0
429,M,299.3,308.5,1465,42.4,80,0,0,0,0,0
430,L,295.6,306.3,1529,32.7,179,0,0,0,0,0
431,L,299.7,309.0,1596,35.3,31,0,0,0,0,0
432,M,299.4,308.6,1645,29.4,109,0,0,0,0,0
433,L,300.2,310.1,1569,47.6,17,0,0,0,0,0
434,M,297.8,307.4,1552,34.5,19,0,0,0,0,0
435,L,296.4,307.6,1863,22.8,54,0,0,0,0,0
436,M,301.6,310.7,1479,40.5,143,0,0,0,0,0
437,L,298.8,309.7,1740,35.8,152,0,0,0,0,0
438,L,300.7,310.1,1442,45.5,191,0,0,0,0,0
439,L,301.4,310.3,1619,30.6,59,0,0,0,0,0
440,L,299.1,308.5,1385,41.8,121,0,0,0,0,0
441,M,299.7,309.2,1452,43.7,137,0,0,0,0,0
442,L,300.7,310.8,1486,31.2,144,0,0,0,0,0
443,L,300.5,309.7,1510,38.7,139,0,0,0,0,0
444,L,298.9,310.1,1523,36.0,72,0,0,0,0,0
445,L,298.5,308.8,1557,32.7,2,0,0,0,0,0
446,M,300.1,309.2,1567,36.9,52,0,0,0,0,0
